Table 2 
Photometry of HD 98800 A


Wavelength (mum)	Flux (mJy)	Reference	
(1)	(2)	(3)	
0.429	266 +or- 8	1	
0.525	700 +or- 20	1	
0.954	2080 +or- 60	1	
0.955	2000 +or- 60	1	
1.082	2440 +or- 80	1	
1.251	2000 +or- 200	2	
1.452	2470 +or- 70	1	
1.658	2300 +or- 200	2	
1.875	2190 +or- 70	1	
1.899	2300 +or- 70	1	
2.20	1800 +or- 100	2	
4.7	470 +or- 40	3	
4.8	450 +or- 50	2	
7.9	180 +or- 30	2	
7.91	180 +or- 20	4	
8.80	200 +or- 20	2	
8.81	170 +or- 10	4	
9.69	150 +or- 20	4	
9.80	160 +or- 10	2	
10.3	120 +or- 10	4	
10.3	140 +or- 10	2	
11.7	140 +or- 10	2	
11.7	100 +or- 10	4	
12.5	80 +or- 10	4	
12.5	140 +or- 20	2	
18.2	80 +or- 30	2	
8820	0.080 +or- 0.015	This work	
49600	0.16 +or- 0.03	This work	
References. (1) Soderblom et al. (1998), (2) Prato et al. (2001), (3) Zuckerman & Becklin (1993), (4) Koerner et al. (2000).
